timestamp,episode,episode_score,avg_score,steps_this_episode,score_per_step
2025-05-19 09:09:14,1,-678.0,-678.0,128,-5.296875
2025-05-19 09:10:54,2,-922.5,-800.25,128,-7.20703125
2025-05-19 09:10:55,3,0,-533.5,128,0.0
2025-05-19 09:11:56,4,-988.0,-647.125,128,-7.71875
2025-05-19 09:11:58,5,0,-517.7,128,0.0
2025-05-19 09:13:31,6,-946.5,-589.1666666666666,128,-7.39453125
2025-05-19 09:15:05,7,-944.5,-639.9285714285714,128,-7.37890625
2025-05-19 09:15:41,8,-633.5,-639.125,128,-4.94921875
2025-05-19 09:17:11,9,-369.0,-609.1111111111111,128,-2.8828125
2025-05-19 09:18:35,10,-437.0,-591.9,128,-3.4140625
2025-05-19 09:19:59,11,-256.5,-561.4090909090909,128,-2.00390625
2025-05-19 09:21:28,12,-784.5,-580.0,128,-6.12890625
2025-05-19 09:23:04,13,-716.5,-590.5,128,-5.59765625
2025-05-19 09:24:30,14,-748.5,-601.7857142857143,128,-5.84765625
2025-05-19 09:25:58,15,-699.0,-608.2666666666667,128,-5.4609375
2025-05-19 09:27:31,16,-479.0,-600.1875,128,-3.7421875
2025-05-19 09:27:32,17,0,-564.8823529411765,128,0.0
2025-05-19 09:29:02,18,-756.0,-575.5,128,-5.90625
2025-05-19 09:30:32,19,-406.5,-566.6052631578947,128,-3.17578125
2025-05-19 09:31:55,20,-224.0,-549.475,128,-1.75
2025-05-19 09:32:52,21,-413.0,-542.9761904761905,128,-3.2265625
2025-05-19 09:32:54,22,0,-518.2954545454545,128,0.0
2025-05-19 09:34:19,23,-621.0,-522.7608695652174,128,-4.8515625
2025-05-19 09:36:00,24,-494.0,-521.5625,128,-3.859375
2025-05-19 09:37:24,25,-95.0,-504.5,128,-0.7421875
2025-05-19 09:38:48,26,-317.0,-497.28846153846155,128,-2.4765625
2025-05-19 09:39:59,27,-532.5,-498.5925925925926,128,-4.16015625
2025-05-19 09:41:14,28,-444.5,-496.6607142857143,128,-3.47265625
2025-05-19 09:42:41,29,-616.0,-500.7758620689655,128,-4.8125
2025-05-19 09:44:09,30,-186.0,-490.28333333333336,128,-1.453125
2025-05-19 09:45:32,31,-574.0,-492.98387096774195,128,-4.484375
2025-05-19 09:47:09,32,-271.5,-486.0625,128,-2.12109375
2025-05-19 09:48:28,33,-51.5,-472.8939393939394,128,-0.40234375
2025-05-19 09:49:58,34,-287.5,-467.44117647058823,128,-2.24609375
2025-05-19 09:51:29,35,-440.0,-466.65714285714284,128,-3.4375
2025-05-19 09:52:57,36,-227.0,-460.0,128,-1.7734375
2025-05-19 09:54:32,37,-397.5,-458.31081081081084,128,-3.10546875
2025-05-19 09:55:59,38,-391.5,-456.55263157894734,128,-3.05859375
2025-05-19 09:57:28,39,-590.0,-459.97435897435895,128,-4.609375
2025-05-19 09:59:01,40,-122.5,-451.5375,128,-0.95703125
2025-05-19 10:00:32,41,-517.0,-453.1341463414634,128,-4.0390625
2025-05-19 10:02:17,42,-143.5,-445.76190476190476,128,-1.12109375
2025-05-19 10:03:04,43,-448.5,-445.8255813953488,128,-3.50390625
2025-05-19 10:04:21,44,-482.5,-446.65909090909093,128,-3.76953125
2025-05-19 10:05:48,45,19.5,-436.3,128,0.15234375
